Fri Dec 30 04:14:57 2022    output.dat

         41282251 function calls (40571362 primitive calls) in 85.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.001    0.000    0.002    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1950(_stack_arrays)
        5    0.001    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1969(construct_1d_object_array_from_listlike)
        8    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.134    0.134 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\readers.py:467(_read)
        6    0.001    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\lib\function_base.py:4382(delete)
        2    0.001    0.000    0.021    0.011 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:451(_init_dict)
        1    0.001    0.001    0.008    0.008 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1411(as_array)
        1    0.001    0.001   85.855   85.855 d:\Git\Demidov\recycle.py:55(kk)
       12    0.001    0.000    0.031    0.003 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:2042(to_native_types)
        1    0.001    0.001    0.001    0.001 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
        1    0.001    0.001   85.495   85.495 d:\Git\Demidov\venv\lib\site-packages\pandas\core\apply.py:655(apply)
       27    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        1    0.001    0.001   85.494   85.494 d:\Git\Demidov\venv\lib\site-packages\pandas\core\apply.py:811(apply_standard)
        1    0.001    0.001   85.495   85.495 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:8583(apply)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        4    0.000    0.000    0.003    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1022(iset)
        3    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.002    0.002 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:343(_concatenate_chunks)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
        1    0.000    0.000    0.006    0.006 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:111(maybe_convert_platform)
        3    0.000    0.000    0.209    0.070 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:302(_save_chunk)
     10/5    0.000    0.000    0.014    0.003 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:375(__new__)
       19    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.122    0.122 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:221(read)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       28    0.000    0.000    0.013    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\codecs.py:319(decode)
       17    0.000    0.000    0.008    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\missing.py:221(_isna_array)
       52    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:569(<genexpr>)
       12    0.000    0.000    0.032    0.003 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:638(to_native_types)
        3    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:362(delete)
      2/1    0.000    0.000   85.856   85.856 {built-in method builtins.exec}
       28    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1230(is_float_dtype)
        3    0.000    0.000    0.032    0.011 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:276(apply)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:214(set_axis)
        3    0.000    0.000    0.000    0.000 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\numerictypes.py:575(_can_coerce_all)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\format.py:489(__init__)
       11    0.000    0.000    0.007    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\missing.py:259(_isna_string_dtype)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1814(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        7    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:166(_number_format)
        2    0.000    0.000    0.006    0.003 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\construction.py:396(dict_to_mgr)
        2    0.000    0.000    0.002    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1811(_form_blocks)
       23    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:673(is_integer_dtype)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:48(__init__)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1829(<genexpr>)
        1    0.000    0.000    0.215    0.215 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:3297(to_csv)
        1    0.000    0.000    0.213    0.213 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:232(save)
        4    0.000    0.000    0.007    0.002 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3587(__setitem__)
        2    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1790(find_common_type)
       19    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:532(is_string_dtype)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1831(<genexpr>)
        9    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_asarray.py:22(require)
       29    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:496(is_categorical_dtype)
       19    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1519(_is_dtype)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:3820(_slice)
       12    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:990(iget_values)
        4    0.000    0.000    0.007    0.002 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3774(_set_item)
        2    0.000    0.000    0.002    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\io\common.py:522(get_handle)
       60    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\base.py:263(is_dtype)
       16    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\inference.py:288(<genexpr>)
       11    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
        1    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexing.py:1570(_get_slice_axis)
        1    0.000    0.000    0.001    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3366(_ixs)
       34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.002    0.002 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:3426(get_indexer)
        4    0.000    0.000    0.003    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3744(_iset_item_mgr)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:351(set_inplace)
        4    0.000    0.000    0.003    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3749(_set_item_mgr)
        5    0.000    0.000    0.011    0.002 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:6397(_maybe_cast_data_without_dtype)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        3    0.000    0.000    0.023    0.008 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\numeric.py:303(_format_native_types)
        4    0.000    0.000    0.024    0.006 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:1262(_format_native_types)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:105(__new__)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\common.py:200(<genexpr>)
       10    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\common.py:224(asarray_tuplesafe)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:939(fast_xs)
        4    0.000    0.000    0.003    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3837(_ensure_valid_index)
       13    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\dtypes.py:950(is_dtype)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\common.py:227(_get_filepath_or_buffer)
      5/3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       12    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:246(make_block)
        5    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:511(_dtype_to_subclass)
        9    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:160(_simple_new)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       13    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:422(is_period_dtype)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:511(_maybe_promote)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\array_algos\take.py:266(_get_take_nd_function_cached)
        1    0.000    0.000    0.002    0.002 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:3787(reindex)
        1    0.000    0.000    0.215    0.215 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\format.py:1056(to_csv)
        7    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:177(data_index)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:122(_set_option)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        4    0.000    0.000    0.004    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:4489(_sanitize_column)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\construction.py:560(_homogenize)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\apply.py:71(frame_apply)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:3(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\numerictypes.py:599(find_common_type)
       14    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:458(is_interval_dtype)
        2    0.000    0.000    0.003    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1760(create_block_manager_from_arrays)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:767(_engine)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        3    0.000    0.000    0.000    0.000 {method 'delete' of 'pandas._libs.internals.BlockPlacement' objects}
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:2026(ensure_block_shape)
        3    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexing.py:918(__getitem__)
       19    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:561(condition)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:816(__getitem__)
        1    0.000    0.000    0.127    0.127 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\readers.py:1045(read)
        1    0.000    0.000    0.134    0.134 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\readers.py:491(read_csv)
        2    0.000    0.000    0.003    0.002 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\construction.py:100(arrays_to_mgr)
       14    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\dtypes.py:1201(is_dtype)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:484(<genexpr>)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:308(<listcomp>)
        5    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:179(_data)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:142(_initialize_columns)
        9    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
      3/2    0.000    0.000    0.021    0.011 d:\Git\Demidov\venv\lib\site-packages\pandas\core\construction.py:800(create_series_with_explicit_dtype)
        1    0.000    0.000    0.003    0.003 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\base.py:75(reindex_axis)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:466(copy)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\construction.py:598(_extract_index)
        1    0.000    0.000    0.211    0.211 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:259(_save)
        1    0.000    0.000    0.021    0.021 d:\Git\Demidov\venv\lib\site-packages\pandas\core\apply.py:836(wrap_results)
        4    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:10767(_reindex_for_setitem)
        5    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\inference.py:262(is_dict_like)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\base_parser.py:1207(<genexpr>)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:359(<setcomp>)
        5    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\missing.py:552(na_value_for_dtype)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1913(_multi_blockify)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\numeric.py:289(full)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\readers.py:816(_get_options_with_defaults)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:219(encoded_labels)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\readers.py:866(_clean_options)
        2    0.000    0.000    0.000    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\urllib\parse.py:412(urlsplit)
        1    0.000    0.000    0.005    0.005 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\readers.py:772(__init__)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:5434(_should_compare)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:3677(_validate_positional_slice)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:119(_get_index_label_from_obj)
       36    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:154(<lambda>)
       13    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:564(is_excluded_dtype)
       38    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\numerictypes.py:584(<listcomp>)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:264(_save_header)
        3    0.000    0.000    0.032    0.011 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:461(to_native_types)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:3516(_check_indexing_method)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:916(_verify_integrity)
        6    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(delete)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\base_parser.py:1183(_is_potential_multi_index)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:412(__enter__)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\numerictypes.py:358(issubdtype)
       12    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:2010(extend_blocks)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\base_parser.py:126(__init__)
        7    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:725(is_signed_integer_dtype)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:355(<listcomp>)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1836(<genexpr>)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\numeric.py:140(_ensure_array)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:623(should_store)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1483(maybe_infer_to_datetimelike)
       11    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
        5    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:779(is_unsigned_integer_dtype)
        1    0.000    0.000    0.008    0.008 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:10589(values)
        2    0.000    0.000    0.000    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\urllib\parse.py:361(urlparse)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:2018(is_unique)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:892(<genexpr>)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1768(<genexpr>)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:189(nlevels)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\common.py:287(maybe_iterable_to_list)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
       13    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1141(needs_i8_conversion)
        2    0.000    0.000    0.001    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\base.py:145(interleaved_dtype)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\numeric.py:149(ones)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexing.py:1535(_getitem_axis)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:1467(_validate_names)
       20    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1474(is_ea_or_datetimelike_dtype)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:841(_getitem_slice)
        5    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:918(<genexpr>)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\common.py:143(_expand_user)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\common.py:942(_is_binary_mode)
        6    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:1820(<genexpr>)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\format.py:714(truncate)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:4359(_reduce)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\format.py:657(_calc_max_rows_fitted)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\nanops.py:258(_get_values)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:45(CSVFormatter)
        9    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_asarray.py:111(<setcomp>)
       34    0.000    0.000    0.000    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\abc.py:137(__instancecheck__)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:503(_maybe_promote_cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1770(<listcomp>)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\base_parser.py:373(_maybe_dedup_names)
       10    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1756(_extract_array)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\missing.py:606(is_valid_na_for_dtype)
        1    0.000    0.000    0.001    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\readers.py:813(close)
       28    0.000    0.000    0.000    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\codecs.py:331(getstate)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\construction.py:450(<listcomp>)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\base_parser.py:232(_validate_parse_dates_presence)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
        5    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:800(__array__)
        4    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\common.py:171(stringify_path)
        1    0.000    0.000    0.005    0.005 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\readers.py:1029(_make_engine)
       36    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:149(classes_and_not_datetimelike)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\common.py:463(infer_compression)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:196(_has_aliases)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:477(<listcomp>)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:4571(reindex)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\common.py:98(close)
        1    0.000    0.000    0.001    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:191(close)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\format.py:475(get_adjustment)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:5352(_maybe_promote)
        2    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\common.py:196(all_none)
        6    0.000    0.000    0.000    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\ntpath.py:287(expanduser)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:5340(_index_as_unique)
        1    0.000    0.000    0.008    0.008 d:\Git\Demidov\venv\lib\site-packages\pandas\core\apply.py:647(values)
        1    0.000    0.000   85.855   85.855 <string>:1(<module>)
        1    0.000    0.000    0.002    0.002 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1895(_simple_blockify)
        3    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:232(fill_value)
        4    0.000    0.000    0.000    0.000 {pandas._libs.internals.get_blkno_placements}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       12    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\numerictypes.py:284(issubclass_)
        1    0.000    0.000    0.000    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\io\formats\csvs.py:200(_need_to_save_header)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
